episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
12460,617709,0.39,0.39,12.14,100.0,0.0016519668864526053
12470,618209,0.41,0.41,12.22,100.0,0.001645209632540532
12480,618709,0.43,0.43,12.16,100.0,0.001638452378628457
12490,619195,0.41,0.41,12.21,100.0,0.001631884327825921
12500,619683,0.4,0.4,12.17,100.0,0.0016252892480077361
12510,620166,0.42,0.42,12.17,100.0,0.001618761740728671
12520,620665,0.43,0.43,12.26,100.0,0.0016120180013244213
12530,621156,0.45,0.45,12.17,100.0,0.0016053823779827638
12540,621631,0.41,0.41,12.06,100.0,0.0015989629867662926
12550,622131,0.43,0.43,12.36,100.0,0.0015922057328542176
12560,622613,0.44,0.44,12.18,100.0,0.0015856917400829777
12570,623101,0.44,0.44,12.48,100.0,0.0015790966602647928
12580,623585,0.43,0.43,12.72,100.0,0.0015725556384779057
12590,624066,0.42,0.42,12.77,100.0,0.0015660551602144895
12600,624560,0.45,0.45,11.71,100.0,0.0015593789933493595
12610,625043,0.46,0.46,11.65,100.0,0.001552851486070296
12620,625539,0.45,0.45,11.91,100.0,0.0015461482901895172
12630,626025,0.44,0.44,12.09,100.0,0.0015395802393869812
12640,626523,0.46,0.46,12.02,100.0,0.0015328500144905551
12650,627005,0.46,0.46,12.16,100.0,0.0015263360217193152
12660,627469,0.46,0.46,11.87,100.0,0.0015200652900889105
12670,627964,0.43,0.43,11.9,100.0,0.0015133756087159552
12680,628448,0.44,0.44,11.86,100.0,0.0015068345869290681
